ID,Sci_Name,Common,ISSCAAP,Sp.grp,Year,Country_name,Fishing_Area,Fishing_name,CAPSUM_tonnes,AQSUM_tonnes,TOTAL_tonnes,Binary,Early_M,Late_M
"Acanthopagrus berda_Bahrain_Indian Ocean, Western",Acanthopagrus berda,Goldsilk seabream,Miscellaneous coastal fishes,finfish,2016,Bahrain,51,"Indian Ocean, Western",53,0,53,CBA,0.53,0.33
"Acanthopagrus berda_Saudi Arabia_Indian Ocean, Western",Acanthopagrus berda,Goldsilk seabream,Miscellaneous coastal fishes,finfish,2016,Saudi Arabia,51,"Indian Ocean, Western",44,0,44,CBA,0.53,0.33
"Anarhichas lupus_Belgium_Atlantic, Northeast",Anarhichas lupus,Atlantic wolffish,Miscellaneous demersal fishes,finfish,2016,Belgium,27,"Atlantic, Northeast",52,0,52,CBA,0.33,0.13
"Anarhichas lupus_Denmark_Atlantic, Northeast",Anarhichas lupus,Atlantic wolffish,Miscellaneous demersal fishes,finfish,2016,Denmark,27,"Atlantic, Northeast",466,0,466,CBA,0.33,0.13
"Anarhichas lupus_Faroe Islands_Atlantic, Northeast",Anarhichas lupus,Atlantic wolffish,Miscellaneous demersal fishes,finfish,2016,Faroe Islands,27,"Atlantic, Northeast",105,0,105,CBA,0.33,0.13
"Anarhichas lupus_France_Atlantic, Northeast",Anarhichas lupus,Atlantic wolffish,Miscellaneous demersal fishes,finfish,2016,France,27,"Atlantic, Northeast",44,0,44,CBA,0.33,0.13
"Anarhichas lupus_Greenland_Atlantic, Northeast",Anarhichas lupus,Atlantic wolffish,Miscellaneous demersal fishes,finfish,2016,Greenland,27,"Atlantic, Northeast",7,0,7,CBA,0.33,0.13
"Anarhichas lupus_Iceland_Atlantic, Northeast",Anarhichas lupus,Atlantic wolffish,Miscellaneous demersal fishes,finfish,2016,Iceland,27,"Atlantic, Northeast",8615,0,8615,CBA,0.33,0.13
"Anarhichas lupus_Norway_Atlantic, Northwest",Anarhichas lupus,Atlantic wolffish,Miscellaneous demersal fishes,finfish,2016,Norway,21,"Atlantic, Northwest",1,0,1,CBA,0.33,0.13
"Anarhichas lupus_Norway_Atlantic, Northeast",Anarhichas lupus,Atlantic wolffish,Miscellaneous demersal fishes,finfish,2016,Norway,27,"Atlantic, Northeast",943,0,943,CBA,0.33,0.13
"Anarhichas lupus_Poland_Atlantic, Northeast",Anarhichas lupus,Atlantic wolffish,Miscellaneous demersal fishes,finfish,2016,Poland,27,"Atlantic, Northeast",1,0,1,CBA,0.33,0.13
"Anarhichas lupus_Russian Federation_Atlantic, Northeast",Anarhichas lupus,Atlantic wolffish,Miscellaneous demersal fishes,finfish,2016,Russian Federation,27,"Atlantic, Northeast",1310,0,1310,CBA,0.33,0.13
"Anarhichas lupus_Spain_Atlantic, Northeast",Anarhichas lupus,Atlantic wolffish,Miscellaneous demersal fishes,finfish,2016,Spain,27,"Atlantic, Northeast",6,0,6,CBA,0.33,0.13
"Anarhichas lupus_Sweden_Atlantic, Northeast",Anarhichas lupus,Atlantic wolffish,Miscellaneous demersal fishes,finfish,2016,Sweden,27,"Atlantic, Northeast",20,0,20,CBA,0.33,0.13
"Anarhichas lupus_United Kingdom_Atlantic, Northeast",Anarhichas lupus,Atlantic wolffish,Miscellaneous demersal fishes,finfish,2016,United Kingdom,27,"Atlantic, Northeast",163,0,163,CBA,0.33,0.13
Anguilla anguilla_Algeria_Mediterranean and Black Sea,Anguilla anguilla,European eel,River eels,finfish,2016,Algeria,37,Mediterranean and Black Sea,98,0,98,CBA,0.41,0.21
Anguilla anguilla_Croatia_Mediterranean and Black Sea,Anguilla anguilla,European eel,River eels,finfish,2016,Croatia,37,Mediterranean and Black Sea,1,0,1,CBA,0.41,0.21
"Anguilla anguilla_Denmark_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,Denmark,27,"Atlantic, Northeast",254,567,821,CBA,0.41,0.21
"Anguilla anguilla_Estonia_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,Estonia,27,"Atlantic, Northeast",1,0,1,CBA,0.41,0.21
"Anguilla anguilla_Finland_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,Finland,27,"Atlantic, Northeast",10,0,10,CBA,0.41,0.21
"Anguilla anguilla_France_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,France,27,"Atlantic, Northeast",34,0,34,CBA,0.41,0.21
Anguilla anguilla_France_Mediterranean and Black Sea,Anguilla anguilla,European eel,River eels,finfish,2016,France,37,Mediterranean and Black Sea,30,0,30,CBA,0.41,0.21
"Anguilla anguilla_Germany_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,Germany,27,"Atlantic, Northeast",39,0,39,CBA,0.41,0.21
Anguilla anguilla_Greece_Mediterranean and Black Sea,Anguilla anguilla,European eel,River eels,finfish,2016,Greece,37,Mediterranean and Black Sea,47,0,47,CBA,0.41,0.21
Anguilla anguilla_Italy_Mediterranean and Black Sea,Anguilla anguilla,European eel,River eels,finfish,2016,Italy,37,Mediterranean and Black Sea,89,0,89,CBA,0.41,0.21
"Anguilla anguilla_Netherlands_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,Netherlands,27,"Atlantic, Northeast",14,0,14,CBA,0.41,0.21
"Anguilla anguilla_Norway_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,Norway,27,"Atlantic, Northeast",4,0,4,CBA,0.41,0.21
"Anguilla anguilla_Poland_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,Poland,27,"Atlantic, Northeast",59,0,59,CBA,0.41,0.21
"Anguilla anguilla_Portugal_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,Portugal,27,"Atlantic, Northeast",5,0,5,CBA,0.41,0.21
"Anguilla anguilla_Russian Federation_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,Russian Federation,27,"Atlantic, Northeast",6,0,6,CBA,0.41,0.21
"Anguilla anguilla_Spain_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,Spain,27,"Atlantic, Northeast",36,0,36,CBA,0.41,0.21
Anguilla anguilla_Spain_Mediterranean and Black Sea,Anguilla anguilla,European eel,River eels,finfish,2016,Spain,37,Mediterranean and Black Sea,19,0,19,CBA,0.41,0.21
"Anguilla anguilla_Sweden_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,Sweden,27,"Atlantic, Northeast",181,0,181,CBA,0.41,0.21
Anguilla anguilla_Tunisia_Mediterranean and Black Sea,Anguilla anguilla,European eel,River eels,finfish,2016,Tunisia,37,Mediterranean and Black Sea,248,0,248,CBA,0.41,0.21
"Anguilla anguilla_United Kingdom_Atlantic, Northeast",Anguilla anguilla,European eel,River eels,finfish,2016,United Kingdom,27,"Atlantic, Northeast",2,0,2,CBA,0.41,0.21
Atherina boyeri_Bulgaria_Mediterranean and Black Sea,Atherina boyeri,Big-scale sand smelt,Miscellaneous pelagic fishes,finfish,2016,Bulgaria,37,Mediterranean and Black Sea,50,0,50,CBA,0.85,0.65
Atherina boyeri_Croatia_Mediterranean and Black Sea,Atherina boyeri,Big-scale sand smelt,Miscellaneous pelagic fishes,finfish,2016,Croatia,37,Mediterranean and Black Sea,6,0,6,CBA,0.85,0.65
Atherina boyeri_Russian Federation_Mediterranean and Black Sea,Atherina boyeri,Big-scale sand smelt,Miscellaneous pelagic fishes,finfish,2016,Russian Federation,37,Mediterranean and Black Sea,127,0,127,CBA,0.85,0.65
Atherina boyeri_Ukraine_Mediterranean and Black Sea,Atherina boyeri,Big-scale sand smelt,Miscellaneous pelagic fishes,finfish,2016,Ukraine,37,Mediterranean and Black Sea,220,0,220,CBA,0.85,0.65
"Bolbometopon muricatum_Saudi Arabia_Indian Ocean, Western",Bolbometopon muricatum,Green humphead parrotfish,Miscellaneous coastal fishes,finfish,2016,Saudi Arabia,51,"Indian Ocean, Western",167,0,167,CBA,0.33,0.13
"Carangoides malabaricus_Qatar_Indian Ocean, Western",Carangoides malabaricus,Malabar trevally,Miscellaneous pelagic fishes,finfish,2016,Qatar,51,"Indian Ocean, Western",201,0,201,CBA,0.98,0.78
"Carangoides malabaricus_Saudi Arabia_Indian Ocean, Western",Carangoides malabaricus,Malabar trevally,Miscellaneous pelagic fishes,finfish,2016,Saudi Arabia,51,"Indian Ocean, Western",98,0,98,CBA,0.98,0.78
"Caranx hippos_Angola_Atlantic, Southeast",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Angola,47,"Atlantic, Southeast",548,0,548,CBA,0.86,0.66
"Caranx hippos_Cameroon_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Cameroon,34,"Atlantic, Eastern Central",69,0,69,CBA,0.86,0.66
"Caranx hippos_Congo, Dem. Rep. of the_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,"Congo, Dem. Rep. of the",34,"Atlantic, Eastern Central",347,0,347,CBA,0.86,0.66
"Caranx hippos_Ghana_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Ghana,34,"Atlantic, Eastern Central",15275,0,15275,CBA,0.86,0.66
"Caranx hippos_Russian Federation_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Russian Federation,34,"Atlantic, Eastern Central",113,0,113,CBA,0.86,0.66
"Caranx hippos_Sao Tome and Principe_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Sao Tome and Principe,34,"Atlantic, Eastern Central",7,0,7,CBA,0.86,0.66
"Caranx hippos_Senegal_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Senegal,34,"Atlantic, Eastern Central",441,0,441,CBA,0.86,0.66
"Caranx hippos_Togo_Atlantic, Eastern Central",Caranx hippos,Crevalle jack,Miscellaneous pelagic fishes,finfish,2016,Togo,34,"Atlantic, Eastern Central",1203,0,1203,CBA,0.86,0.66
