,Sp_name,Sci_name,Group,ISSCAAP,Country,Fishing_area,AQ_median,AQ_q25,AQ_q75,AQ_medianNOW,AQ_q25NOW,AQ_q75NOW,Net_Median,Net_q25,Net_q75,Larval_M,Adult_M,CAPSUM_tonnes,AQSUM_tonnes,Positive,Percent_spared
1,Goldsilk seabream,Acanthopagrus berda,finfish,Miscellaneous coastal fishes,Bahrain,"Indian Ocean, Western",34,29.7,39.7,35.51,35.51,35.51,1.51,-4.19,5.81,0.53,0.33,53,0,1,0.03
2,Goldsilk seabream,Acanthopagrus berda,finfish,Miscellaneous coastal fishes,Saudi Arabia,"Indian Ocean, Western",28.2,24.7,32.9,29.48,29.48,29.48,1.28,-3.42,4.78,0.53,0.33,44,0,1,0.03
3,Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Belgium,"Atlantic, Northeast",56.2,49.2,65.6,45.24,45.24,45.24,-10.96,-20.36,-3.96,0.33,0.13,52,0,0,-0.21
4,Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Denmark,"Atlantic, Northeast",503.9,440.9,587.9,405.42,405.42,405.42,-98.48,-182.48,-35.48,0.33,0.13,466,0,0,-0.21
5,Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Faroe Islands,"Atlantic, Northeast",113.5,99.3,132.4,91.35,91.35,91.35,-22.15,-41.05,-7.95,0.33,0.13,105,0,0,-0.21
6,Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,France,"Atlantic, Northeast",47.6,41.7,55.5,38.28,38.28,38.28,-9.32,-17.22,-3.42,0.33,0.13,44,0,0,-0.21
7,Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Greenland,"Atlantic, Northeast",7.6,6.7,8.9,6.09,6.09,6.09,-1.51,-2.81,-0.61,0.33,0.13,7,0,0,-0.22
8,Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Iceland,"Atlantic, Northeast",9315.3,8150.9,10867.8,7495.05,7495.05,7495.05,-1820.25,-3372.75,-655.85,0.33,0.13,8615,0,0,-0.21
9,Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Norway,"Atlantic, Northwest",1,0.9,1.3,0.87,0.87,0.87,-0.13,-0.43,-0.03,0.33,0.13,1,0,0,-0.13
10,Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Norway,"Atlantic, Northeast",1019.6,892.3,1189.6,820.41,820.41,820.41,-199.19,-369.19,-71.89,0.33,0.13,943,0,0,-0.21
11,Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Poland,"Atlantic, Northeast",1,0.9,1.3,0.87,0.87,0.87,-0.13,-0.43,-0.03,0.33,0.13,1,0,0,-0.13
12,Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Russian Federation,"Atlantic, Northeast",1416.4,1239.4,1652.6,1139.7,1139.7,1139.7,-276.7,-512.9,-99.7,0.33,0.13,1310,0,0,-0.21
13,Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Spain,"Atlantic, Northeast",6.5,5.7,7.6,5.22,5.22,5.22,-1.28,-2.38,-0.48,0.33,0.13,6,0,0,-0.21
14,Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Sweden,"Atlantic, Northeast",21.7,19,25.2,17.4,17.4,17.4,-4.3,-7.8,-1.6,0.33,0.13,20,0,0,-0.22
15,Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,United Kingdom,"Atlantic, Northeast",176.3,154.3,205.7,141.81,141.81,141.81,-34.49,-63.89,-12.49,0.33,0.13,163,0,0,-0.21
16,European eel,Anguilla anguilla,finfish,River eels,Algeria,Mediterranean and Black Sea,87.4,76.5,101.9,77.42,77.42,77.42,-9.98,-24.48,0.92,0.41,0.21,98,0,0,-0.1
17,European eel,Anguilla anguilla,finfish,River eels,Croatia,Mediterranean and Black Sea,0.9,0.7,1,0.79,0.79,0.79,-0.11,-0.21,0.09,0.41,0.21,1,0,0,-0.11
18,European eel,Anguilla anguilla,finfish,River eels,Denmark,"Atlantic, Northeast",732,640.5,854,706.16,643.06,790.36,-25.84,-63.64,2.56,0.41,0.21,254,567,0,-0.1
19,European eel,Anguilla anguilla,finfish,River eels,Estonia,"Atlantic, Northeast",0.9,0.7,1,0.79,0.79,0.79,-0.11,-0.21,0.09,0.41,0.21,1,0,0,-0.11
20,European eel,Anguilla anguilla,finfish,River eels,Finland,"Atlantic, Northeast",8.9,7.8,10.4,7.9,7.9,7.9,-1,-2.5,0.1,0.41,0.21,10,0,0,-0.1
21,European eel,Anguilla anguilla,finfish,River eels,France,"Atlantic, Northeast",30.3,26.5,35.4,26.86,26.86,26.86,-3.44,-8.54,0.36,0.41,0.21,34,0,0,-0.1
22,European eel,Anguilla anguilla,finfish,River eels,France,Mediterranean and Black Sea,26.8,23.4,31.2,23.7,23.7,23.7,-3.1,-7.5,0.3,0.41,0.21,30,0,0,-0.1
23,European eel,Anguilla anguilla,finfish,River eels,Germany,"Atlantic, Northeast",34.8,30.5,40.6,30.81,30.81,30.81,-3.99,-9.79,0.31,0.41,0.21,39,0,0,-0.1
24,European eel,Anguilla anguilla,finfish,River eels,Greece,Mediterranean and Black Sea,41.9,36.7,48.9,37.13,37.13,37.13,-4.77,-11.77,0.43,0.41,0.21,47,0,0,-0.1
25,European eel,Anguilla anguilla,finfish,River eels,Italy,Mediterranean and Black Sea,79.3,69.4,92.6,70.31,70.31,70.31,-8.99,-22.29,0.91,0.41,0.21,89,0,0,-0.1
26,European eel,Anguilla anguilla,finfish,River eels,Netherlands,"Atlantic, Northeast",12.5,10.9,14.5,11.06,11.06,11.06,-1.44,-3.44,0.16,0.41,0.21,14,0,0,-0.1
27,European eel,Anguilla anguilla,finfish,River eels,Norway,"Atlantic, Northeast",3.6,3.2,4.2,3.16,3.16,3.16,-0.44,-1.04,-0.04,0.41,0.21,4,0,0,-0.11
28,European eel,Anguilla anguilla,finfish,River eels,Poland,"Atlantic, Northeast",52.6,46.1,61.4,46.61,46.61,46.61,-5.99,-14.79,0.51,0.41,0.21,59,0,0,-0.1
29,European eel,Anguilla anguilla,finfish,River eels,Portugal,"Atlantic, Northeast",4.4,3.9,5.2,3.95,3.95,3.95,-0.45,-1.25,0.05,0.41,0.21,5,0,0,-0.09
30,European eel,Anguilla anguilla,finfish,River eels,Russian Federation,"Atlantic, Northeast",5.4,4.7,6.2,4.74,4.74,4.74,-0.66,-1.46,0.04,0.41,0.21,6,0,0,-0.11
31,European eel,Anguilla anguilla,finfish,River eels,Spain,"Atlantic, Northeast",32.1,28,37.4,28.44,28.44,28.44,-3.66,-8.96,0.44,0.41,0.21,36,0,0,-0.1
32,European eel,Anguilla anguilla,finfish,River eels,Spain,Mediterranean and Black Sea,16.9,14.9,19.8,15.01,15.01,15.01,-1.89,-4.79,0.11,0.41,0.21,19,0,0,-0.1
33,European eel,Anguilla anguilla,finfish,River eels,Sweden,"Atlantic, Northeast",161.4,141.2,188.3,142.99,142.99,142.99,-18.41,-45.31,1.79,0.41,0.21,181,0,0,-0.1
34,European eel,Anguilla anguilla,finfish,River eels,Tunisia,Mediterranean and Black Sea,221.1,193.5,257.9,195.92,195.92,195.92,-25.18,-61.98,2.42,0.41,0.21,248,0,0,-0.1
35,European eel,Anguilla anguilla,finfish,River eels,United Kingdom,"Atlantic, Northeast",1.8,1.6,2.1,1.58,1.58,1.58,-0.22,-0.52,-0.02,0.41,0.21,2,0,0,-0.11
36,Big-scale sand smelt,Atherina boyeri,finfish,Miscellaneous pelagic fishes,Bulgaria,Mediterranean and Black Sea,8.8,7.7,10.2,17.5,17.5,17.5,8.7,7.3,9.8,0.85,0.65,50,0,1,0.17
