,ID,Sp_name,Sci_name,Group,ISSCAAP,Country,Fishing_area,AQ_median,AQ_q25,AQ_q75,AQ_medianNOW,AQ_q25NOW,AQ_q75NOW,Net_Median,Net_q25,Net_q75,Larval_M,Adult_M,CAPSUM_tonnes,AQSUM_tonnes,Positive,Percent_spared
1,"Acanthopagrus berda_Bahrain_Indian Ocean, Western",Goldsilk seabream,Acanthopagrus berda,finfish,Miscellaneous coastal fishes,Bahrain,"Indian Ocean, Western",23.9,20.8,27.8,35.51,35.51,35.51,11.61,7.71,14.71,0.53,0.33,53,0,1,0.22
2,"Acanthopagrus berda_Saudi Arabia_Indian Ocean, Western",Goldsilk seabream,Acanthopagrus berda,finfish,Miscellaneous coastal fishes,Saudi Arabia,"Indian Ocean, Western",19.8,17.3,23.1,29.48,29.48,29.48,9.68,6.38,12.18,0.53,0.33,44,0,1,0.22
3,"Anarhichas lupus_Belgium_Atlantic, Northeast",Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Belgium,"Atlantic, Northeast",43.3,37.8,50.5,45.24,45.24,45.24,1.94,-5.26,7.44,0.33,0.13,52,0,1,0.04
4,"Anarhichas lupus_Denmark_Atlantic, Northeast",Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Denmark,"Atlantic, Northeast",388,339.6,452.7,405.42,405.42,405.42,17.42,-47.28,65.82,0.33,0.13,466,0,1,0.04
5,"Anarhichas lupus_Faroe Islands_Atlantic, Northeast",Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Faroe Islands,"Atlantic, Northeast",87.4,76.5,102,91.35,91.35,91.35,3.95,-10.65,14.85,0.33,0.13,105,0,1,0.04
6,"Anarhichas lupus_France_Atlantic, Northeast",Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,France,"Atlantic, Northeast",36.6,32,42.7,38.28,38.28,38.28,1.68,-4.42,6.28,0.33,0.13,44,0,1,0.04
7,"Anarhichas lupus_Greenland_Atlantic, Northeast",Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Greenland,"Atlantic, Northeast",5.8,5.1,6.8,6.09,6.09,6.09,0.29,-0.71,0.99,0.33,0.13,7,0,1,0.04
8,"Anarhichas lupus_Iceland_Atlantic, Northeast",Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Iceland,"Atlantic, Northeast",7173.8,6277.1,8369.5,7495.05,7495.05,7495.05,321.25,-874.45,1217.95,0.33,0.13,8615,0,1,0.04
9,"Anarhichas lupus_Norway_Atlantic, Northwest",Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Norway,"Atlantic, Northwest",0.8,0.7,1,0.87,0.87,0.87,0.07,-0.13,0.17,0.33,0.13,1,0,1,0.07
10,"Anarhichas lupus_Norway_Atlantic, Northeast",Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Norway,"Atlantic, Northeast",785.3,687.1,916.1,820.41,820.41,820.41,35.11,-95.69,133.31,0.33,0.13,943,0,1,0.04
