Sp_name,Sci_name,Sp._grp,Sp_ISSCAAP,n,Dom_level,Year,SUM_tonnes,Updated_Dom_level,Binary,Binary#,10yr_prod,Notes
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,1987,3,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,1988,10,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,1989,10,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,1990,69,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,1991,232,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,1992,381,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,1993,400,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,1994,448,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,1995,531,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,1996,631,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,1997,734,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,1998,822,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,1999,990,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,2000,1093,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,2001,1468,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,2002,1573,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,2003,1711,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,2004,1389,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,2005,965,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,2006,1366,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,2007,2201,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,2008,4017.21,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,2009,3280.1,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,2010,3355.7,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,2011,3788.99,5,DA,1,yes,
Arctic char,Salvelinus alpinus,PISCES,"Salmons, trouts, smelts",30,5,2012,4017,5,DA,1,yes,
