Sci_name,Sp_name,Production_2009,Dom_level,Notes
Aequidens rivulatus,Green terror,0 -,1,
Anarhichas lupus,Atlantic wolffish,0 -,1,
Anguilla rostrata,American eel,0 -,1,
Aplodinotus grunniens,Freshwater drum,0 .,1,
Bagrus bajad,Bayad,0 .,1,
Blicca bjoerkna,White bream,14,1,
Caranx hippos,Crevalle jack,0 .,1,
Centropristis striata,Black seabass,0 .,1,
Chalcalburnus chalcoides,Danube bleak,1,1,
Channa marulius,Channa marulius,939,1,
Channa punctata,Spotted snakehead,1 496,1,
Clarias anguillaris,Mudfish,0 -,1,
Cynoscion striatus,Striped weakfish,46,1,
Dentex tumifrons,Yellowback seabream,0 -,1,
Hypostomus plecostomus,Suckermouth catfish,31,1,
Labeo dussumieri,Labeo dussumieri,2,1,
Labrus bergylta,Ballan wrasse,44 F,1,
Lethrinus miniatus,Trumpet emperor,94,1,
Leuciscus cephalus,Chub,1,1,
Lutjanus bohar,Two-spotted red snapper,0 -,1,
Micropogonias furnieri,Whitemouth croaker,24,1,
Mugil liza,Lebranche mullet,31,1,
Muraenesox cinereus,Daggertooth pike conger,0 -,1,
Oncorhynchus aguabonita,Golden trout,0 .,1,
Oncorhynchus masou,Masu salmon [Masu(=Cherry)salmon],0 -,1,
Osteobrama belangeri,Osteobrama belangeri,901,1,
Pelecus cultratus,Sichel,1,1,
Platichthys flesus,European flounder,1,1,
Pleurogrammus azonus,Okhotsk atka mackerel,0 -,1,
Pomatomus saltatrix,Bluefish,0 .,1,
Rohtee ogibii,Rohtee ogibii,6 972,1,
Salminus maxillosus,Dorado,20,1,
Scardinius erythrophthalmus,Rudd,31,1,
Scophthalmus rhombus,Brill,0 .,1,
Serranochromis robustus,Yellow-belly bream,0 .,1,
Siganus canaliculatus,White-spotted spinefoot,0 -,1,
Siganus javus,Streaked spinefoot,0 0,1,
Siganus rivulatus,Marbled spinefoot,2,1,
Valamugil seheli,Bluespot mullet,0 .,1,
Abramis brama,Freshwater bream,216,2,
Acanthopagrus berda,Goldsilk seabream,0 .,2,
Acipenser sturio,Sturgeon,0 .,2,
Agrostichthys parkeri,Streamer fish,30 F,2,
Anguilla anguilla,European eel,6 480,2,
Anguilla australis,Short-finned eel,148 F,2,
Anguilla spp,River eels nei,5 762,2,
Arapaima gigas,Arapaima,8,2,
Aspius aspius,Asp,3,2,
Barbus barbus,Barbel,0,2,
Bidyanus bidyanus,Silver perch,9 763,2,
Brycon moorei,Dorada,0 -,2,
Centropomus undecimalis,Common snook,0,2,
Channa micropeltes,Indonesian snakehead,12 467,2,
Channa spp,Snakeheads nei [Snakeheads(=Murrels)nei],9 032,2,
Chitala chitala,Clown knifefish,365,2,
Cirrhinus microlepis,Small scale mud carp,4 615 F,2,
Clarias fuscus,Hong Kong catfish,0 0,2,
