stock_id,sci_name,sp_name,Major_Group,ISSCAAP_Group,fishing_region,bbmsy_q2.5,bbmsy_q25,bbmsy_q50,bbmsy_q75,bbmsy_q97.5,bbmsy_sd,bbmsy_mean,startbio,Bmsy,B_q50,B_q25,B_q75,year,r,k,msy,Fmsy,F_q50,ffmsy_q50,F_q25,ffmsy_q75,F_q75,ffmsy_q25,catch_2016,Dom_level,M_dsrt_early,AQ_tonnes_2016
Aequipecten_opercularis-Atlantic_Northeast,Aequipecten opercularis,Queen scallop,MOLLUSCA,"Scallops, pectens",Atlantic Northeast,0.62,0.76,0.93,1.12,1.36,0.22,0.95,116777.62,91675.69,85028.7,69666.51,102298.28,2016,0.44,183351.39,19330.57,0.22,0.21,0.97,0.26,1.18,0.18,0.8,18138,CBA,0.68,7.85
Anadara_granosa-Indian Ocean_Eastern,Anadara granosa,Blood cockle,MOLLUSCA,"Clams, cockles, arkshells",Indian Ocean Eastern,0.06,0.34,0.55,0.7,0.79,0.22,0.5,193457.21,136452.24,75172.1,46220.46,95156.2,2016,0.33,272904.48,21955.48,0.17,0.23,1.4,0.38,2.27,0.18,1.1,17403,Domestic,0.95,0
Anadara_granosa-Pacific_Western Central,Anadara granosa,Blood cockle,MOLLUSCA,"Clams, cockles, arkshells",Pacific Western Central,0.03,0.22,0.37,0.59,0.78,0.23,0.4,189108.01,149414.18,55418.1,33040.97,88215.72,2016,0.32,298828.37,23414.14,0.16,0.34,2.18,0.58,3.65,0.22,1.37,19030,Domestic,0.95,0
Anarhichas_lupus-Atlantic_Northeast,Anarhichas lupus,Atlantic wolffish,PISCES,Miscellaneous demersal fishes,Atlantic Northeast,0.06,0.31,0.52,0.68,0.79,0.22,0.49,288121.78,287471.13,149786.7,90052.73,196795.55,2016,0.13,574942.27,17468.24,0.06,0.08,1.21,0.13,2.02,0.06,0.92,11732,CBA,0.33,0
Anarhichas_minor-Atlantic_Northeast,Anarhichas minor,Spotted wolffish,PISCES,Miscellaneous demersal fishes,Atlantic Northeast,0.61,0.7,0.83,1.01,1.31,0.2,0.87,68804.46,54706.86,45303.6,38342.91,55007.45,2016,0.27,109413.73,7152.45,0.14,0.24,1.77,0.28,2.09,0.2,1.45,10888,Domestic,0.34,0
Anguilla_anguilla-Atlantic_Northeast,Anguilla anguilla,European eel,PISCES,River eels,Atlantic Northeast,0.05,0.29,0.5,0.66,0.79,0.22,0.47,109437.27,103452.22,52069.8,29874.54,68576.07,2016,0.12,206904.45,5965.87,0.06,0.01,0.21,0.02,0.36,0.01,0.16,645,CBA,0.41,568.06
Anguilla_anguilla-Mediterranean and Black Sea,Anguilla anguilla,European eel,PISCES,River eels,Mediterranean and Black Sea,0.05,0.28,0.48,0.66,0.79,0.22,0.46,51745.83,37317.94,18042.6,10344.75,24629.31,2016,0.12,74635.88,2197.44,0.06,0.03,0.48,0.05,0.84,0.02,0.35,532,CBA,0.41,128.8
Argopecten_purpuratus-Pacific_Southeast,Argopecten purpuratus,Peruvian calico scallop,MOLLUSCA,"Scallops, pectens",Pacific Southeast,0.03,0.13,0.26,0.43,0.74,0.2,0.29,173736.75,136367.91,35418.7,17349.85,59221.47,2016,0.31,272735.82,21046.82,0.16,0.38,2.42,0.77,4.94,0.23,1.45,13343,Domestic,0.97,24521.99
Argopecten_ventricosus-Pacific_Eastern Central,Argopecten ventricosus,Pacific calico scallop,MOLLUSCA,"Scallops, pectens",Pacific Eastern Central,0.05,0.27,0.48,0.66,0.79,0.23,0.46,53894.2,40932.75,19760.1,11222.85,26931.48,2016,0.55,81865.5,10224.98,0.27,0.01,0.04,0.02,0.08,0.01,0.03,239,CBA,0.98,0
Argyrosomus_regius-Atlantic_Eastern Central,Argyrosomus regius,Meagre,PISCES,Miscellaneous coastal fishes,Atlantic Eastern Central,0.04,0.25,0.47,0.66,0.79,0.23,0.45,19171.33,16114.68,7604.3,3975.25,10673.83,2016,0.33,32229.36,2307.85,0.16,0.34,2.11,0.66,4.03,0.24,1.5,2610,Domestic,0.36,0
Argyrosomus_regius-Atlantic_Northeast,Argyrosomus regius,Meagre,PISCES,Miscellaneous coastal fishes,Atlantic Northeast,0.06,0.33,0.55,0.7,0.79,0.22,0.5,24026.23,20903.71,11393.7,6875.43,14548.9,2016,0.12,41807.42,1263.3,0.06,0.14,2.25,0.23,3.72,0.11,1.76,1561,Domestic,0.36,109.58
Atherina_boyeri-Mediterranean and Black Sea,Atherina boyeri,Big-scale sand smelt,PISCES,Miscellaneous pelagic fishes,Mediterranean and Black Sea,0.06,0.28,0.51,0.66,0.79,0.22,0.48,29155.26,18423.05,9405.8,5164.59,12221.51,2016,0.29,36846.09,2627.55,0.14,0.04,0.3,0.08,0.54,0.03,0.23,403,CBA,0.85,0
Aulacomya_ater-Pacific_Southeast,Aulacomya ater,Cholga mussel,MOLLUSCA,Mussels,Pacific Southeast,0.06,0.29,0.52,0.66,0.78,0.22,0.48,114428.47,124602.15,65182.7,36158.24,82810.71,2016,0.31,249204.31,18722.48,0.15,0.17,1.12,0.31,2.02,0.13,0.88,11168,CBA,0.80,1005
Caranx_hippos-Atlantic_Eastern Central,Caranx hippos,Crevalle jack,PISCES,Miscellaneous pelagic fishes,Atlantic Eastern Central,0.61,0.69,0.8,0.94,1.23,0.17,0.83,54047.21,43159.13,34408.8,29743.14,40621.16,2016,0.46,86318.26,9671.82,0.23,0.51,2.2,0.59,2.55,0.43,1.87,17455,CBA,0.86,0
Caranx_ignobilis-Indian Ocean_Western,Caranx ignobilis,Giant trevally,PISCES,Miscellaneous pelagic fishes,Indian Ocean Western,0.61,0.71,0.85,1.01,1.3,0.19,0.88,61870.36,48829.16,41329.3,34808.42,49367.69,2016,0.5,97658.31,11949.02,0.25,0.5,1.99,0.59,2.36,0.42,1.66,20598,CBA,0.58,0
Centropomus_undecimalis-Atlantic_Western Central,Centropomus undecimalis,Common snook,PISCES,Miscellaneous coastal fishes,Atlantic Western Central,0.04,0.29,0.5,0.67,0.79,0.23,0.47,32015.24,24458.46,12339.3,6973.34,16420.22,2016,0.35,48916.91,4162.88,0.18,0.25,1.39,0.44,2.45,0.18,1.04,3035,CBA,0.66,0
