sciname,sp_name,group ,ISSCAAP_Group,M_dscrt_late,M_dsrt_early,Binary
Salvelinus alpinus,Arctic char,PISCES,"Salmons, trouts, smelts",0.32,0.52,Domesticated
Epinephelus areolatus,Areolate grouper,PISCES,Miscellaneous coastal fishes,0.34,0.54,Capture-based
Thunnus thynnus,Atlantic bluefin tuna,PISCES,"Tunas, bonitos, billfishes",0.14,0.14,Capture-based
Gadus morhua,Atlantic cod,PISCES,"Cods, hakes, haddocks",0.24,0.44,Domesticated
Hippoglossus hippoglossus,Atlantic halibut,PISCES,"Flounders, halibuts, soles",0.11,0.31,Domesticated
Salmo salar,Atlantic salmon,PISCES,"Salmons, trouts, smelts",0.44,0.64,Domesticated
Chaetodipterus faber,Atlantic spadefish,PISCES,Miscellaneous coastal fishes,0.44,0.64,Capture-based
Anarhichas lupus,Atlantic wolffish,PISCES,Miscellaneous demersal fishes,0.13,0.33,Capture-based
Lates calcarifer,Barramundi(=Giant seaperch),PISCES,Miscellaneous diadromous fishes,0.35,0.55,Domesticated
Paralichthys olivaceus,Bastard halibut,PISCES,"Flounders, halibuts, soles",0.34,0.54,Domesticated
Atherina boyeri,Big-scale sand smelt,PISCES,Miscellaneous pelagic fishes,0.65,0.85,Capture-based
Caranx sexfasciatus,Bigeye trevally,PISCES,Miscellaneous pelagic fishes,0.56,0.76,Capture-based
Mycteroperca bonaci,Black grouper,PISCES,Miscellaneous coastal fishes,0.20,0.40,Capture-based
Acanthopagrus schlegeli,Blackhead seabream,PISCES,Miscellaneous coastal fishes,0.27,0.47,Domesticated
Pagellus bogaraveo,Blackspot(=red) seabream,PISCES,Miscellaneous coastal fishes,0.23,0.43,Domesticated
Epinephelus fuscoguttatus,Brown-marbled grouper,PISCES,Miscellaneous coastal fishes,0.26,0.46,Capture-based
Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,PISCES,"Salmons, trouts, smelts",0.54,0.74,Domesticated
Oncorhynchus keta,Chum(=Keta=Dog) salmon,PISCES,"Salmons, trouts, smelts",0.54,0.74,Domesticated
Rachycentron canadum,Cobia,PISCES,Miscellaneous pelagic fishes,0.37,0.57,Domesticated
Oncorhynchus kisutch,Coho(=Silver) salmon,PISCES,"Salmons, trouts, smelts",0.59,0.79,Domesticated
