stock_id,sci_name,sp_name,Major_Group,ISSCAAP_Group,fishing_region,bbmsy_q25,bbmsy_q50,bbmsy_q75,Bmsy,B_q50,B_q25,B_q75,year,r,k,msy,Fmsy,F_q50,% reduction,ffmsy_q50,F_q25,ffmsy_q75,F_q75,ffmsy_q25,catch,Dom_level
Anadara_granosa-Indian Ocean_Eastern,Anadara granosa,Blood cockle,MOLLUSCA,"Clams, cockles, arkshells",Indian Ocean Eastern,0.34,0.55,0.7,136452.2,75172.1,46220.5,95156.2,2016,0.3,272904.5,21955.5,0.166,0.232,28%,1.395,0.38,2.269,0.18,1.1,17403,Domestic
Anadara_granosa-Pacific_Western Central,Anadara granosa,Blood cockle,MOLLUSCA,"Clams, cockles, arkshells",Pacific Western Central,0.22,0.37,0.59,149414.2,55418.1,33041,88215.7,2016,0.3,298828.4,23414.1,0.158,0.343,54%,2.176,0.58,3.65,0.22,1.37,19030,Domestic
Anarhichas_lupus-Atlantic_Northeast,Anarhichas lupus,Atlantic wolffish,PISCES,Miscellaneous demersal fishes,Atlantic Northeast,0.31,0.52,0.68,287471.1,149786.7,90052.7,196795.6,2016,0.1,574942.3,17468.2,0.065,0.078,17%,1.214,0.13,2.02,0.06,0.92,11732,CBA
Anarhichas_minor-Atlantic_Northeast,Anarhichas minor,Spotted wolffish,PISCES,Miscellaneous demersal fishes,Atlantic Northeast,0.7,0.83,1.01,54706.9,45303.6,38342.9,55007.5,2016,0.3,109413.7,7152.5,0.136,0.24,43%,1.765,0.28,2.086,0.2,1.45,10888,Domestic
Argopecten_purpuratus-Pacific_Southeast,Argopecten purpuratus,Peruvian calico scallop,MOLLUSCA,"Scallops, pectens",Pacific Southeast,0.13,0.26,0.43,136367.9,35418.7,17349.9,59221.5,2016,0.3,272735.8,21046.8,0.156,0.377,59%,2.421,0.77,4.943,0.23,1.45,13343,Domestic
Argyrosomus_regius-Atlantic_Eastern Central,Argyrosomus regius,Meagre,PISCES,Miscellaneous coastal fishes,Atlantic Eastern Central,0.25,0.47,0.66,16114.7,7604.3,3975.3,10673.8,2016,0.3,32229.4,2307.8,0.163,0.343,53%,2.109,0.66,4.034,0.24,1.5,2610,Domestic
Argyrosomus_regius-Atlantic_Northeast,Argyrosomus regius,Meagre,PISCES,Miscellaneous coastal fishes,Atlantic Northeast,0.33,0.55,0.7,20903.7,11393.7,6875.4,14548.9,2016,0.1,41807.4,1263.3,0.061,0.137,55%,2.247,0.23,3.723,0.11,1.76,1561,Domestic
Aulacomya_ater-Pacific_Southeast,Aulacomya ater,Cholga mussel,MOLLUSCA,Mussels,Pacific Southeast,0.29,0.52,0.66,124602.2,65182.7,36158.2,82810.7,2016,0.3,249204.3,18722.5,0.153,0.171,10%,1.118,0.31,2.015,0.13,0.88,11168,CBA
Caranx_hippos-Atlantic_Eastern Central,Caranx hippos,Crevalle jack,PISCES,Miscellaneous pelagic fishes,Atlantic Eastern Central,0.69,0.8,0.94,43159.1,34408.8,29743.1,40621.2,2016,0.5,86318.3,9671.8,0.23,0.507,55%,2.202,0.59,2.547,0.43,1.87,17455,CBA
Caranx_ignobilis-Indian Ocean_Western,Caranx ignobilis,Giant trevally,PISCES,Miscellaneous pelagic fishes,Indian Ocean Western,0.71,0.85,1.01,48829.2,41329.3,34808.4,49367.7,2016,0.5,97658.3,11949,0.251,0.498,50%,1.986,0.59,2.358,0.42,1.66,20598,CBA
